Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
934,17229,53875,35.0,62083,32.2,29276,40.2,50615.928,Hustontown,1.0,1096.0
935,17233,52633,33.7,63218,34.3,25278,31.5,47383.665,McConnellsburg,1.0,1215.0
936,17235,64404,6.6,64229,2.2,0,100.0,5663.7019999999975,Chambersburg,3.0,1670.0
937,17236,69982,30.6,79122,29.1,33864,30.3,54699.78599999999,Mercersburg,1.0,940.0
938,17237,60679,33.7,70042,36.4,44706,27.0,58014.731,Mont Alto,1.0,810.0
939,17238,57045,39.7,61786,42.0,37500,30.1,59884.485,Needmore,1.0,761.0
940,17239,56458,34.9,76563,25.6,51944,50.0,65275.97,Neelyton,1.0,597.0
941,17240,67766,31.6,72317,35.4,37031,16.9,53272.513,Newburg,1.0,992.0
942,17241,60258,31.5,70869,31.6,34462,30.8,51990.17,Newville,1.0,1043.0
943,17243,58077,33.4,72250,32.4,21406,29.7,49164.3,Orbisonia,1.0,1153.0
944,17244,60469,31.2,70861,32.0,40771,29.1,53406.209,Orrstown,1.0,987.0
945,17246,61906,62.6,62295,67.6,0,26.3,80864.576,Pleasant Hall,1.0,267.0
946,17247,47875,39.0,58125,32.6,0,44.3,37620.0,Waynesboro,2.0,1450.0
947,17249,57222,28.8,70750,30.7,24107,22.6,43648.367999999995,Rockhill Furnace,1.0,1314.0
948,17251,0,40.6,85625,59.1,0,0.0,50604.375,Orrstown,2.0,1098.0
949,17252,54405,32.9,76133,36.3,33603,22.6,53129.802,St. Thomas,1.0,996.0
950,17253,62917,21.3,73250,23.7,43125,17.0,38092.821,Three Springs,2.0,1445.0
951,17255,48644,28.6,56250,26.7,23333,34.9,37074.151,Shade Gap,1.0,1461.0
952,17257,53814,33.0,75480,29.1,36156,37.9,53426.424000000006,Shippensburg,1.0,985.0
953,17260,38625,45.5,50313,48.9,18403,37.0,48986.542,Shirleysburg,1.0,1163.0
954,17262,59766,33.0,69327,35.6,49167,21.3,54875.763,Spring Run,1.0,933.0
955,17263,73031,36.9,0,42.0,0,0.0,26948.439,State Line,1.0,1577.0
956,17264,49539,31.8,58750,30.1,28472,33.5,42975.272000000004,Three Springs,1.0,1331.0
957,17265,63802,34.2,63125,28.5,41161,65.9,66936.008,Upperstrasburg,1.0,559.0
958,17266,61477,50.8,72813,48.9,30455,55.8,83829.76299999999,Walnut Bottom,1.0,231.0
959,17267,67361,32.0,75833,31.8,36736,27.5,55772.81400000001,Warfordsburg,1.0,903.0
960,17268,58607,27.0,70988,26.4,34810,27.5,44137.472,Waynesboro,1.0,1305.0
961,17271,66563,24.8,70357,30.5,34375,0.0,37966.509,Willow Hill,1.0,1447.0
962,17272,44432,11.7,52522,9.7,16488,16.0,12931.258,Waynesboro,3.0,1653.0
963,17301,73125,32.1,80573,32.2,45172,28.3,62201.307,Abbottstown,1.0,694.0
964,17302,60625,42.8,63958,36.9,52083,56.6,79026.98,Airville,1.0,296.0
