city,zip,no_of_competitors,rank_in_city,overall_rank
PITTSBURGH,15224.0,1,1.0,1.0
PITTSBURGH,15226.0,1,1.0,1.0
PITTSBURGH,15229.0,1,1.0,1.0
PITTSBURGH,15231.0,1,1.0,1.0
PITTSBURGH,15232.0,1,1.0,1.0
PITTSBURGH,15233.0,1,1.0,1.0
PITTSBURGH,15234.0,2,2.0,2.0
PITTSBURGH,15235.0,3,3.0,3.0
PITTSBURGH,15236.0,4,4.0,4.0
PITTSBURGH,15237.0,6,5.0,6.0
PITTSBURGH,15238.0,2,2.0,2.0
PITTSBURGH,15239.0,1,1.0,1.0
PITTSBURGH,15241.0,2,2.0,2.0
PITTSBURGH,15243.0,1,1.0,1.0
PITTSBURGH,15275.0,1,1.0,1.0
PITTSTON,18640.0,3,1.0,3.0
PLYMOUTH,18651.0,1,1.0,1.0
PLYMOUTH-MEETING,19462.0,2,1.0,2.0
POCONO-SUMMIT,18346.0,1,1.0,1.0
PORTAGE,15946.0,1,1.0,1.0
POTTSTOWN,19464.0,4,2.0,4.0
POTTSTOWN,19465.0,2,1.0,2.0
POTTSVILLE,17901.0,4,1.0,4.0
PROSPECT-PARK,19076.0,1,1.0,1.0
PUNXSUTAWNEY,15767.0,1,1.0,1.0
QUAKERTOWN,18951.0,4,1.0,4.0
QUARRYVILLE,17566.0,1,1.0,1.0
READING,19601.0,1,1.0,1.0
READING,19602.0,2,2.0,2.0
READING,19604.0,1,1.0,1.0
READING,19605.0,2,2.0,2.0
READING,19606.0,4,3.0,4.0
READING,19607.0,2,2.0,2.0
RED LION,17356.0,2,1.0,2.0
RED-LION,17356.0,1,1.0,1.0
RICHBORO,18954.0,2,1.0,2.0
RICHEYVILLE,15358.0,1,1.0,1.0
RIDGWAY,15853.0,1,1.0,1.0
RIDLEY-PARK,19078.0,1,1.0,1.0
ROCHESTER,15074.0,1,1.0,1.0
ROYERSFORD,19468.0,1,1.0,1.0
SAYRE,18840.0,3,1.0,3.0
SCHNECKSVILLE,18078.0,1,1.0,1.0
SCHWENKSVILLE,19473.0,1,1.0,1.0
SCOTT TOWNSHIP,18447.0,1,1.0,1.0
SCOTTDALE,15683.0,1,1.0,1.0
SCRANTON,18503.0,1,1.0,1.0
SCRANTON,18504.0,1,1.0,1.0
SCRANTON,18505.0,3,2.0,3.0
SCRANTON,18508.0,1,1.0,1.0
SCRANTON,18509.0,1,1.0,1.0
SECANE,19018.0,1,1.0,1.0
SELINSGROVE,17870.0,2,1.0,2.0
SEVEN FIELDS,16046.0,1,1.0,1.0
SEWICKLEY,15143.0,1,1.0,1.0
SHAMOKIN,17872.0,2,1.0,2.0
SHARON,16146.0,2,1.0,2.0
SHARON-HILL,19079.0,1,1.0,1.0
SHAVERTOWN,18708.0,1,1.0,1.0
SHENANDOAH,17976.0,1,1.0,1.0
SHICKSHINNY,18655.0,1,1.0,1.0
SHIPPENSBURG,17257.0,1,1.0,1.0
SHOEMAKERSVILLE,19555.0,1,1.0,1.0
SHREWSBURY,17361.0,2,1.0,2.0
SINKING-SPRING,19608.0,1,1.0,1.0
SLIPPERY ROCK,16057.0,1,1.0,1.0
SOMERSET,15501.0,1,1.0,1.0
SOUDERTON,18964.0,4,1.0,4.0
SOUTH PARK,15129.0,1,1.0,1.0
SOUTH-WILLIAMSPORT,17702.0,1,1.0,1.0
SPRING-CITY,19475.0,1,1.0,1.0
SPRING-HOUSE,19477.0,1,1.0,1.0
SPRINGFIELD,19064.0,4,1.0,4.0
STATE COLLEGE,16801.0,2,2.0,2.0
STATE COLLEGE,16803.0,1,1.0,1.0
STATE-COLLEGE,16801.0,3,2.0,3.0
STATE-COLLEGE,16803.0,2,1.0,2.0
STEWARTSTOWN,17363.0,1,1.0,1.0
STROUDSBURG,18360.0,2,1.0,2.0
SUNBURY,17801.0,1,1.0,1.0
SUSQUEHANNA,18847.0,1,1.0,1.0
SWARTHMORE,19081.0,1,1.0,1.0
SWISSVALE,15218.0,1,1.0,1.0
TAMAQUA,18252.0,1,1.0,1.0
TANNERSVILLE,18372.0,1,1.0,1.0
TEMPLE,19560.0,1,1.0,1.0
THORNDALE,19372.0,1,1.0,1.0
TITUSVILLE,16354.0,2,1.0,2.0
TOWANDA,18848.0,3,1.0,3.0
TREVOSE,19053.0,1,1.0,1.0
TUNKHANNOCK,18657.0,2,1.0,2.0
TURTLE-CREEK,15145.0,1,1.0,1.0
UNIONTOWN,15401.0,4,1.0,4.0
UPPER DARBY,19082.0,2,1.0,2.0
WALNUTPORT,18088.0,1,1.0,1.0
WARMINSTER,18974.0,4,1.0,4.0
WARREN,16365.0,1,1.0,1.0
WARRINGTON,18976.0,2,1.0,2.0
WASHINGTON,15301.0,3,1.0,3.0
WAYNE,19087.0,3,1.0,3.0
WAYNESBORO,17268.0,1,1.0,1.0
WAYNESBURG,15370.0,2,1.0,2.0
WELLSBORO,16901.0,2,1.0,2.0
WEST CHESTER,19380.0,3,2.0,3.0
WEST CHESTER,19382.0,1,1.0,1.0
WEST MIFFLIN,15122.0,1,1.0,1.0
WEST NEWTON,15089.0,1,1.0,1.0
WEST PITTSTON,18643.0,1,1.0,1.0
WEST-CHESTER,19380.0,3,1.0,3.0
WEST-CHESTER,19382.0,3,1.0,3.0
WEST-GROVE,19390.0,1,1.0,1.0
WEXFORD,15090.0,2,1.0,2.0
WHITE HAVEN,18661.0,1,1.0,1.0
WHITEHALL,18052.0,1,1.0,1.0
WILKES-BARRE,18701.0,2,2.0,2.0
WILKES-BARRE,18702.0,2,2.0,2.0
WILKES-BARRE,18706.0,1,1.0,1.0
WILKINSBURG,15221.0,1,1.0,1.0
WILLIAMSPORT,17701.0,4,1.0,4.0
